Date,AAPL,MSFT,GOOGL,AMZN,JPM,XOM,JNJ,PG
2024-06-25,0.004468216697492089,0.0073266824905762196,0.026838770985927685,0.004149318226444709,-0.0040729509018665455,0.0028057316732723603,-0.01294244561386293,-0.00949824063164273
2024-06-26,0.019993239075961844,0.002683375567960944,-0.0008151528185939005,0.03901472799901873,-0.0032312344358578216,0.00034961943980960086,-0.0025141146018885507,0.003596140445230933
2024-06-27,0.003985845650497977,0.0015260025068670746,0.008320656213227196,0.0218997235669518,0.008813182633480965,0.004282979120814989,-0.006947135530300685,-0.004956974727063912
2024-06-28,-0.01625397039916232,-0.013028605160296913,-0.017582769360398487,-0.023249966952787915,0.01551466486808728,0.0019146752415679646,0.0024692982587311008,-0.010202793440701519
2024-07-01,0.029104580679812697,0.02188167432921384,0.004611582890857724,0.02043982896891161,0.015771667688092794,-0.0013899329505969726,0.0019153925742654287,-0.013339866556479452
2024-07-02,0.01623979545174392,0.005583130550511628,0.012295862333801422,0.014198798656638534,0.016451704218406027,-0.006784999976613193,-0.002799607706431395,0.007251787350084804
2024-07-03,0.0058110740627908,0.003244148714671047,0.003130987227607518,-0.012050018310546862,-0.0006703247062023188,0.00507970218336351,-0.002328275962134918,-0.00042700793810901416
2024-07-05,0.021620506729996825,0.014736192606232379,0.025723976347648225,0.012196992290986808,-0.013250596108273283,-0.012112106576258164,0.005422524126341477,0.008423463430071498
2024-07-08,0.006538882794260736,-0.0028231331978693097,-0.008237287711713503,-0.0035500335693359197,0.0018557001273924456,-0.010496732463897152,-0.006827098652308683,0.0079291873797247
2024-07-09,0.0037748468300975446,-0.014370303867348166,-0.0002644491441357033,0.0002509059834530092,0.011989909260025966,-0.011053493449781682,0.010791879226331957,-0.0051644802505975695
2024-07-10,0.018803523957963364,0.014601540065147134,0.01164136255242787,0.002257434315787954,0.0008188362995216192,0.008833443623475823,0.016185214361783107,0.0068816610576614146
2024-07-11,-0.02322081988710123,-0.024772086749838218,-0.029343932179566434,-0.023724863074531144,-0.0016843212407061658,0.011883399470307365,0.0018066875647435587,-0.007554148201410316
2024-07-12,0.013050838952069821,-0.0025291985029184394,-0.0026945440682121236,-0.0028710461411536325,-0.012099397033043968,0.000176754375300181,0.0012023221809185358,0.00646377552998012
2024-07-15,0.01674333554866947,0.0009040475949484428,0.007888954599482023,-0.009100746683474936,0.024934330698322738,0.017127255692488186,-0.004270041064759367,-0.012184125541510826
2024-07-16,0.001791826398293006,-0.00978061004420494,-0.013992539543461469,0.0015566783408964557,0.016995865801234356,0.007204255642633495,0.011860088184517004,0.014400241388279555
2024-07-17,-0.025295993622862056,-0.013347573245606315,-0.01576754611659026,-0.02637038381521739,0.015214037288269644,0.013788288534337445,0.036885132821384614,0.014914596222437071
2024-07-18,-0.020534783667068734,-0.007102333483082202,-0.01839575493947665,-0.022242286163404512,-0.03177039419750982,0.009860528315058126,-0.007408531249139427,-0.005901857418474599
2024-07-19,0.000579924625589312,-0.007402807097713238,-0.00016883022031521921,-0.0033741230867346816,-0.0009524447753522791,-0.02297969855857318,-0.004696818256585855,0.003147746454130962
2024-07-22,-0.0015603672616408826,0.013337632608150907,0.022571158461756724,-0.003167158934036185,0.0023834951580845587,-0.006892502897495989,-0.0029090004038190287,0.0017264467080924106
2024-07-23,0.00468827999410637,0.004312061462516503,0.0006605260763490328,0.021144894800451786,0.00023786556305083195,-0.01613595646434829,-0.01225346791915638,-0.009687922495099865
2024-07-24,-0.02875424951399197,-0.035854723435217006,-0.05038777754084989,-0.029934025650088625,-0.008272742837038716,0.014108042456308478,0.025795728166866372,0.00828230823591225
2024-07-25,-0.004804624361154031,-0.02448127055352123,-0.030991243986659534,-0.005419431054668911,0.00038359250046693383,0.021041569633075685,0.02149973499026503,-0.006547708478061742
2024-07-26,0.002161062032699057,0.016419617721143975,-0.0016736867813950118,0.014734466536293178,0.017108340662159716,-0.000851480867662735,0.0062641020951221815,0.013241588278005478
2024-07-29,0.00128453425976649,0.0034332553526217335,0.015149571821295504,0.003835599716395466,-0.006549208596276279,-0.01048311908275279,-0.01294825553532497,0.0048490084667178746
2024-07-30,0.002566195835411511,-0.008928406045442094,0.004482959881835447,-0.008133134602594794,0.020583331650504855,0.017829240262792867,0.01746983478915287,-0.048431813461208506
2024-07-31,0.014990716180744545,-0.010805844697452716,0.007340404024260172,0.029002194810164417,-0.011106498308865342,0.003554197023249772,-0.021570711361488915,-0.0058132453892632
2024-08-01,-0.01675070665527678,-0.002964126621443186,-0.00454696045831382,-0.015563100170141508,-0.022744237010638435,-0.013829190715586193,0.018435132099570595,0.030666969217386653
2024-08-02,0.006869406976909742,-0.020665956124016116,-0.024010251683475814,-0.0878470841762542,-0.04241220308919447,-0.0005984759796291428,0.0210251600120428,0.026495194221005436
